author,project name,url,(1) no project,(2) no wiki/no content,(3) wiki and content
tedi,pfnpdemo.git,https://github.com/tedi/pfnpdemo.git, ,x, 
tedi3231,hr_reward.git,https://github.com/tedi3231/hr_reward.git, ,x, 
tedimulyadi,bootstrap.git,https://github.com/tedimulyadi/bootstrap.git, ,x, 
tedmiston,book-notes.git,https://github.com/tedmiston/book-notes.git, ,x, 
TedyL,rails-girls.git,https://github.com/TedyL/rails-girls.git, ,x, 
tedzingrebe,portfolionine.git,https://github.com/tedzingrebe/portfolionine.git, ,x, 
teeedor,iteration2cse360project.git,https://github.com/teeedor/iteration2cse360project.git,x, , 
teehui,GitTest.git,https://github.com/teehui/GitTest.git, ,x, 
teekirol,SimpleToDo.git,https://github.com/teekirol/SimpleToDo.git, ,x, 
teemocogs,LGBT.git,https://github.com/teemocogs/LGBT.git, ,x, 
TeemoRawr,level0.git,https://github.com/TeemoRawr/level0.git,x, , 
teerytko,goprovideos.git,https://github.com/teerytko/goprovideos.git, ,x, 
Teeweez,Stealth-Tutorial.git,https://github.com/Teeweez/Stealth-Tutorial.git, ,x, 
Teg79,Wave.git,https://github.com/Teg79/Wave.git, , ,x
tegaphilip,waacesav.git,https://github.com/tegaphilip/waacesav.git,x, , 
tegirmon,RotateIt.git,https://github.com/tegirmon/RotateIt.git, ,x, 
Tegyukfel,Mestint2Kotprog.git,https://github.com/Tegyukfel/Mestint2Kotprog.git, ,x, 
tehbeard,BeardAch-BuildTools.git,https://github.com/tehbeard/BeardAch-BuildTools.git, ,x, 
tehkaiyu,feed.me.git,https://github.com/tehkaiyu/feed.me.git, ,x, 
Tehla,RapidCms.git,https://github.com/Tehla/RapidCms.git, ,x, 
tehnik819,Heat-Equation.git,https://github.com/tehnik819/Heat-Equation.git, ,x, 
TehShrike,abstract-state-router.git,https://github.com/TehShrike/abstract-state-router.git, , ,x
TehSolider,The-legend-continues-2.git,https://github.com/TehSolider/The-legend-continues-2.git, ,x, 
tehspiah,CS356-Project-2.git,https://github.com/tehspiah/CS356-Project-2.git, ,x, 
Teifion,sequtus.git,https://github.com/Teifion/sequtus.git, ,x, 
teisnet,LITTLE-BUG.git,https://github.com/teisnet/LITTLE-BUG.git, ,x, 
teitei-tk,Alamofire-test.git,https://github.com/teitei-tk/Alamofire-test.git, ,x, 
teitei-tk,django-example.git,https://github.com/teitei-tk/django-example.git, ,x, 
Teivaz,gaf-cocos2d-html5.git,https://github.com/Teivaz/gaf-cocos2d-html5.git, , ,x
tej2011,puppet3.git,https://github.com/tej2011/puppet3.git, ,x, 
tej2011,puppetdocs.git,https://github.com/tej2011/puppetdocs.git, ,x, 
tejasmanohar,daneden.me.git,https://github.com/tejasmanohar/daneden.me.git, ,x, 
tejasmanohar,tab-snooze.git,https://github.com/tejasmanohar/tab-snooze.git, ,x, 
